lat_grid,lon_grid,total_crashes,total_danger_score,avg_deaths,avg_injuries,avg_hour,avg_dayofweek,high_risk_label
30.142,-97.796,13,15,0.0,1.1538461538461537,9.615384615384615,1.8461538461538463,0
30.142,-97.795,21,18,0.047619047619047616,0.6190476190476191,13.333333333333334,3.0476190476190474,0
30.142,-97.792,3,0,0.0,0.0,15.333333333333334,3.0,0
30.142,-97.791,1,0,0.0,0.0,18.0,3.0,0
30.142,-97.79,2,1,0.0,0.5,7.5,4.0,0
30.142,-97.771,1,0,0.0,0.0,6.0,6.0,0
30.142,-97.763,1,0,0.0,0.0,18.0,1.0,0
30.143,-97.804,1,0,0.0,0.0,20.0,6.0,0
30.143,-97.803,12,10,0.0,0.8333333333333334,16.75,1.4166666666666667,0
30.143,-97.802,87,81,0.0,0.9310344827586207,13.183908045977011,3.1494252873563218,1
30.143,-97.801,4,8,0.0,2.0,5.0,2.0,0
30.143,-97.796,1,1,0.0,1.0,14.0,5.0,0
30.143,-97.795,26,16,0.0,0.6153846153846154,10.346153846153847,3.230769230769231,0
30.143,-97.789,3,0,0.0,0.0,12.666666666666666,2.3333333333333335,0
30.143,-97.787,1,1,0.0,1.0,13.0,3.0,0
30.143,-97.77,5,2,0.0,0.4,11.0,4.0,0
30.143,-97.764,2,1,0.0,0.5,20.5,2.5,0
30.143,-97.626,1,1,0.0,1.0,15.0,4.0,0
30.144,-97.852,5,4,0.0,0.8,10.8,1.2,0
30.144,-97.851,2,4,0.0,2.0,17.0,3.5,0
30.144,-97.85,3,3,0.0,1.0,20.666666666666668,3.6666666666666665,0
30.144,-97.849,1,0,0.0,0.0,8.0,6.0,0
30.144,-97.841,1,0,0.0,0.0,8.0,6.0,0
30.144,-97.808,12,5,0.0,0.4166666666666667,12.0,3.75,0
30.144,-97.807,5,6,0.0,1.2,10.0,1.2,0
30.144,-97.806,5,4,0.0,0.8,11.4,2.6,0
30.144,-97.805,43,19,0.0,0.4418604651162791,11.069767441860465,3.1627906976744184,0
30.144,-97.804,2,0,0.0,0.0,10.5,3.5,0
30.144,-97.801,1,1,0.0,1.0,22.0,3.0,0
30.144,-97.795,33,27,0.0,0.8181818181818182,11.212121212121213,3.1818181818181817,0
30.144,-97.794,3,2,0.0,0.6666666666666666,17.666666666666668,2.6666666666666665,0
30.144,-97.788,1,1,0.0,1.0,22.0,2.0,0
30.144,-97.785,1,0,0.0,0.0,19.0,2.0,0
30.145,-97.853,3,6,0.3333333333333333,0.3333333333333333,5.0,1.3333333333333333,0
30.145,-97.845,1,0,0.0,0.0,0.0,4.0,0
30.145,-97.807,1,0,0.0,0.0,3.0,2.0,0
30.145,-97.804,6,3,0.0,0.5,11.166666666666666,2.1666666666666665,0
30.145,-97.8,2,0,0.0,0.0,0.5,3.5,0
30.145,-97.795,2,1,0.0,0.5,17.0,6.0,0
30.145,-97.794,11,7,0.0,0.6363636363636364,11.909090909090908,3.4545454545454546,0
30.145,-97.788,1,1,0.0,1.0,15.0,0.0,0
30.145,-97.783,1,0,0.0,0.0,19.0,3.0,0
30.145,-97.782,1,0,0.0,0.0,19.0,5.0,0
30.145,-97.625,1,0,0.0,0.0,21.0,6.0,0
30.146,-97.854,1,0,0.0,0.0,7.0,1.0,0
30.146,-97.809,1,0,0.0,0.0,15.0,0.0,0
30.146,-97.807,4,5,0.0,1.25,16.5,2.0,0
30.146,-97.805,2,0,0.0,0.0,19.5,3.5,0
30.146,-97.804,5,1,0.0,0.2,6.0,2.6,0
