Primary address,Secondary address,lat_grid,lon_grid
1600 e anderson ln,cameron rd,30.331,-97.683
6400 not reported hwy,not reported,30.362,-97.79
7600 n bluff springs rd,chateau village way,30.174,-97.769
8500 southwest pkwy,5400 travis cook rd,30.261,-97.885
1000 w stassney ln ln,5600 emerald florest,30.211,-97.787
3203 santa monica dr dr,matador dr dr,30.22,-97.735
700 martin luther king blvd,west ave ave,30.283,-97.745
5300 nuckols crossing rd rd,e stassney l ln,30.192,-97.739
2800 not reported hwy,not reported,30.258,-97.812
4400 s n lamar blvd svrd nb blvd,w e ben white blvd svrd eb blvd,30.312,-97.739
300 e 15th st,1500 san jacinto blvd,30.276,-97.737
5700 w slaughter ln,9400 s mopac expy,30.201,-97.87
grove blvd,e riverside dr,30.227,-97.708
1100 w braker ln,11300 austin park ln,30.385,-97.693
7200 not reported hwy,lakewood dr,30.372,-97.786
3711 cookstown dr dr,3700 gable dr dr,30.419,-97.716
2100 w parmer ln,12400 lamplight village ave,30.416,-97.695
e riverside dr,e ben white blvd,30.218,-97.691
8500 research blvd sb blvd,n research sb to lamar svrd ramp,30.36,-97.717
not reported hwy,rundberg ln ln,30.358,-97.688
not reported hwy,e martin luther king jr blvd blvd,30.278,-97.73
5100 s mopac expy,5000 w us 290 hwy,30.236,-97.824
airport blvd,parkwood rd,30.3,-97.713
4500 airport blvd,1000 e 45th st,30.304,-97.716
9000 not reported,e e slaughter ln ln,30.169,-97.785
12200 n lamar blvd,yager ln,30.402,-97.679
528 s 1st st,barton springs rd,30.258,-97.75
2379 s 1st st,w oltorf st,30.242,-97.759
10 not reported hwy,flores st st,30.252,-97.736
1200 s capital of texas hwy,capital of texas st,30.316,-97.825
2300 w parmer ln,tomanet trl trl,30.418,-97.701
8900 research blvd nb blvd,burnet rd rd,30.37,-97.72
10500 not reported hwy,slaughter creek overpass,30.16,-97.789
2800 s lamar blvd,2200 barton skwy,30.244,-97.782
not reported hwy,w howard ln,30.424,-97.672
giles ln,blue goose rd,30.343,-97.616
lake austin blvd,lufkin,30.289,-97.781
5000 mueller blvd,barbara jordan blvd,30.304,-97.704
s 1st st,eberhart ln,30.201,-97.786
1200 lavaca,12th st,30.274,-97.743
1100 e 51st st,cameron rd,30.309,-97.71
1200 not reported hwy,e e 12th st st,30.272,-97.732
2100 w slaughter ln,riddle rd,30.177,-97.835
6600 elm creek dr,2006 e william cannon dr,30.187,-97.764
7400 not reported hwy,blackson ave,30.335,-97.703
9400 not reported blvd,not reported,30.387,-97.744
5400 w parmer ln,legendury dr,30.437,-97.736
e stassney ln,dove springs dr,30.194,-97.757
not reported dr,not reported,30.248,-97.735
2400 not reported hwy,e riverside dr dr,30.203,-97.683
2612 monarch dr,princewood pass,30.18,-97.831
8700 research blvd svrd sb blvd,ohlen rd rd,30.364,-97.718
9100 not reported hwy,springdale rd,30.329,-97.655
4500 not reported hwy,fenwood rd,30.303,-97.715
6800 brodie ln,w william cannon dr,30.217,-97.829
1908 e e 11th st st,chicon st st,30.266,-97.72
not reported,st johns,30.333,-97.704
6500 burnet rd,2400 twin oaks dr,30.341,-97.739
11100 sprinkle cutoff rd,10700 samsung blvd,30.366,-97.651
4200 s lamar blvd,2400 w ben white blvd,30.233,-97.797
7500 not reported hwy,not reported,30.339,-97.7
6500 burnet rd rd,2400 twin oaks dr dr,30.342,-97.739
10000 lakeline blvd,w parmer ln,30.488,-97.771
not reported hwy,n burnet rd rd,30.377,-97.733
3100 not reported hwy,cheviot ln,30.205,-97.642
3200 not reported,woodward st,30.224,-97.747
5300 manchaca rd,1900 inverness,30.218,-97.796
4000 clawson rd,1600 grayford dr,30.231,-97.782
1100 not reported hwy,balcones woods dr,30.407,-97.745
11500 barrington way way,shakespearean way way,30.429,-97.775
8909 burnet rd rd,research blvd svrd nb blvd,30.372,-97.727
4400 n lamar blvd blvd,1000 w 44th st st,30.312,-97.739
airport blvd blvd,w w huntland dr dr,30.33,-97.716
1900 e parmer ln,dessau rd,30.385,-97.645
w 6th st,west ave,30.27,-97.751
10600 lake creek pkwy pkwy,millwright pkwy pkwy,30.456,-97.805
1000 not reported,not reported,30.279,-97.73
900 s s pleasant valley rd rd,2500 s s lakeshore blvd blvd,30.243,-97.717
3300 not reported hwy,e 32nd st,30.291,-97.722
w 6th st,lavaca st,30.269,-97.745
200 w slaughter ln,cullen ln,30.167,-97.792
6300 felix ave,montopolis dr,30.235,-97.697
1200 not reported hwy,e 12th st,30.272,-97.732
8000 n brettonwoods ln,1000 e rutherford ln,30.341,-97.692
8600 not reported hwy,barwood park,30.349,-97.694
6000 not reported,loyola ln,30.3,-97.662
7000 not reported hwy,not reported,30.233,-97.875
rutland dr dr,mearns meadow blvd blvd,30.367,-97.701
3200 s lamar blvd,2300 westoak dr,30.242,-97.785
2800 not reported fwy,st edwards,30.228,-97.745
95 pedernales dr dr,2500 willow st,30.254,-97.717
8100 not reported hwy,spicewood springs rd rd,30.381,-97.775
1500 bradbury ln,1200 dessau rd,30.396,-97.648
13900 not reported hwy,lakeline mall dr,30.473,-97.799
800 s capital of texas hwy,823 las cimas pkwy,30.291,-97.828
8000 not reported hwy,e wonsley dr,30.343,-97.698
9800 anderson mill rd rd,swan dr dr,30.447,-97.795
400 not reported ln,not reported,30.339,-97.7
6300 manchaca rd,berkley,30.209,-97.805
600 e parmer ln ln,techridge blvd blvd,30.407,-97.671
1600 w wells branch pkwy,not reported,30.44,-97.669
1100 s congress ave,100 academy,30.252,-97.749
3900 w parmer ln,12500 amherst dr,30.425,-97.715
700 blanco st,w 7th st,30.274,-97.756
1610 w north loop blvd blvd,burnet rd rd,30.326,-97.739
700 w anderson ln ln,n lamar blvd blvd,30.347,-97.711
100 e riverside dr,300 s congress ave,30.257,-97.747
5600 westgate blvd blvd,w w stassney ln,30.22,-97.807
10600 sprinkle cut off,10700 sprinkle cut off rd,30.357,-97.648
1500 s capital of texas hwy,scottish woods trl,30.318,-97.822
brodie ln,deer ln,30.194,-97.843
7900 not reported hwy,200 foremost dr dr,30.177,-97.78
8600 not reported,peyton gin,30.362,-97.717
8700 not reported,10200 boulder ln,30.429,-97.843
9100 cullen ln,e slaughter ln,30.166,-97.791
900 w mary st,1800 boldin ave,30.247,-97.759
7000 not reported,convict hill,30.217,-97.849
s 1st st st,riverside dr,30.26,-97.75
10300 morado cv,morado cir,30.401,-97.753
10000 not reported hwy,not reported,30.341,-97.591
6300 william cannon dr way,not reported,30.235,-97.865
2000 w william cannon dr,manchaca rd,30.203,-97.808
9205 tall sky trace,banton woods,30.272,-97.633
w anderson ln,brockman st,30.356,-97.73
500 not reported,e 6th st,30.265,-97.735
12502 harris branch pkwy,colington ave,30.375,-97.611
600 e anderson ln eb svrd,n ih 35 sb svrd,30.34,-97.702
8700 not reported,100 e slaughter ln,30.174,-97.782
100 w 6th st st,colorado st,30.268,-97.744
14900 avery ranch blvd blvd,w parmer ln ln,30.498,-97.776
4911 manchaca rd,lansing rd,30.224,-97.792
10800 boulder ln,fm 620 rd,30.434,-97.828
4800 not reported,westlope cir,30.345,-97.785
3700 w braker ln,not reported,30.395,-97.731
3800 n lamar blvd,w 38th st st,30.239,-97.789
10600 not reported expy,not reported,30.249,-97.805
7121 hart ln,hart ln,30.355,-97.756
2500 w 45th st st,edendale,30.318,-97.748
6700 n fm 973 rd,11400 decker lake rd,30.282,-97.596
900 not reported hwy,mckinney falls pkwy,30.241,-97.689
2400 w ben white eb blvd,4400 frontier trl,30.233,-97.794
w parmer ln,not reported,30.42,-97.704
11900 jolliville rd,11800 pavilion blvd,30.425,-97.757
7600 not reported hwy,w anderson ln,30.376,-97.739
900 not reported hwy,not reported,30.252,-97.736
not reported,anderson lane,30.339,-97.7
8901 manchaca rd,w dittmar rd,30.185,-97.817
8000 not reported,e slaughter ln,30.174,-97.782
ohlen rd rd,burnet rd rd,30.363,-97.729
2600 s pleasant valley rd,collins creek dr,30.226,-97.729
5400 s mopac expy,w william cannon dr,30.226,-97.832
5400 viewpoint dr,4500 cottonwood st,30.201,-97.731
500 e 5th st st,500 sabine st st,30.253,-97.7
760 robert e lee,900 lund st,30.261,-97.77
2800 w braker ln ln,burnet rd,30.391,-97.722
9900 manchaca rd,w slaughter ln,30.174,-97.824
12700 n fm 620 rd nb rd,pecan park blvd,30.467,-97.804
w e slaughter ln ln,manchaca rd,30.174,-97.824
6100 southwest pkwy,6100 foster ranch rd,30.248,-97.85
4900 convict hill rd,brush country rd,30.218,-97.85
7800 not reported,700 e wonsley dr,30.342,-97.698
1900 not reported hwy,woodland ave,30.24,-97.738
3800 w braker ln ln,10700 n n mopac expy nb expy,30.397,-97.734
3000 s mopac expy,3000 s capital of tx hwy,30.393,-97.734
6412 not reported hwy,800 e william cannon dr,30.191,-97.77
1500 faro dr,crossing place,30.235,-97.713
14800 n ih 35,1600 w wells branch pkwy,30.44,-97.669
12100 not reported hwy,w e braker ln ln,30.384,-97.673
ohlen rd rd,payton gin rd rd,30.364,-97.714
4800 quicksilver blvd,4800 borage dr,30.174,-97.756
2600 monitor dr,8400 seminary ridge dr,30.193,-97.823
3400 n mopac expy nb expy,w 35th st st,30.308,-97.758
e 51st st,berkman dr,30.304,-97.699
4600 w william cannon dr dr,brush country rd,30.223,-97.843
13600 not reported hwy,w howard ln,30.423,-97.672
8200 e ben white blvd eb,s us hwy 183 sb,30.222,-97.684
4800 ed bluestien,mlk,30.286,-97.666
5600 burnet rd,northland dr,30.336,-97.755
5900 berkman dr,briarcliff,30.314,-97.693
7100 manor rd rd,ed bluestein blvd blvd,30.314,-97.665
2002 guadalupe st st,900 w w martin luther king jr blvd blvd,30.283,-97.742
100 e slaughter ln,not reported,30.167,-97.786
2000 e riverside dr dr,royal crest,30.242,-97.728
3900 not reported hwy,4100 s lamar blvd,30.235,-97.797
400 e martin luther king jr blvd blvd,red river st,30.279,-97.732
1169 springdale rd,e 12th st,30.278,-97.687
10500 spicewood pkwy park,ronwood dr dr,30.431,-97.807
8701 not reported hwy,payton gin rd,30.366,-97.718
500 atlanta st,lake austin blvd,30.277,-97.77
